Day,Type,Problem_Name,Contest_Name,Problem_Link,Contest_Link,PDF_Link,Category,Difficulty
Day 21,Exercise,OTT,fcb042,https://oj.vnoi.info/problem/fcb042_ott,,https://vnoi-admin.github.io/statements/FC/FCB042/ott.pdf,Implementation,100
Day 6,Exercise,NTFS,fcb052,https://oj.vnoi.info/problem/fcb052_ntfs,,https://vnoi-admin.github.io/statements/FC/FCB052/ntfs.pdf,Math,150
Day 2,Exercise,NUMRECT,fcb053,https://oj.vnoi.info/problem/fcb053_numrect,,https://vnoi-admin.github.io/statements/FC/FCB053/numrect.pdf,Math,200
Day 4,Exercise,MINRECT,fcb022,https://oj.vnoi.info/problem/fcb022_minrect,,https://vnoi-admin.github.io/statements/FC/FCB022/minrect.pdf,Geometry,200
Day 13,Exercise,FIVE,fcb047,https://oj.vnoi.info/problem/fcb047_five,,https://vnoi-admin.github.io/statements/FC/FCB047/five.pdf,Implementation,200
Day 14,Exercise,FENCES,fcb046,https://oj.vnoi.info/problem/fcb046_fences,,https://vnoi-admin.github.io/statements/FC/FCB046/fences.pdf,Math,200
Day 21,Exercise,SORTSTRING,fcb043,https://oj.vnoi.info/problem/fcb043_sortstring,,https://vnoi-admin.github.io/statements/FC/FCB043/sortstring.pdf,String,200
Day 1,Exercise,INCMAT,fcb054,https://oj.vnoi.info/problem/fcb054_incmat,,https://vnoi-admin.github.io/statements/FC/FCB054/incmat.pdf,Math,250
Day 2,Exercise,ABC,fcb053,https://oj.vnoi.info/problem/fcb053_abc,,https://vnoi-admin.github.io/statements/FC/FCB053/abc.pdf,Math,250
Day 11,Exercise,POINTS,fcb049,https://oj.vnoi.info/problem/fcb049_points,,https://vnoi-admin.github.io/statements/FC/FCB049/points.pdf,Implementation,250
Day 4,Exercise,MINDIST,fcb037,https://oj.vnoi.info/problem/fcb037_mindist,,https://vnoi-admin.github.io/statements/FC/FCB037/mindist.pdf,Array,300
Day 6,Exercise,POTM,fcb053,https://oj.vnoi.info/problem/fcb053_potm,,https://vnoi-admin.github.io/statements/FC/FCB053/potm.pdf,Array,300
Day 6,Exercise,TOYS,fcb052,https://oj.vnoi.info/problem/fcb052_toys,,https://vnoi-admin.github.io/statements/FC/FCB052/toys.pdf,Greedy,300
Day 10,Exercise,CAMPING,fcb050,https://oj.vnoi.info/problem/fcb050_camping,,https://vnoi-admin.github.io/statements/FC/FCB050/camping.pdf,Sorting,300
Day 11,Exercise,TOYS,fcb049,https://oj.vnoi.info/problem/fcb049_toys,,https://vnoi-admin.github.io/statements/FC/FCB049/toys.pdf,Greedy,300
Day 12,Exercise,H9DNBD,fcb049,https://oj.vnoi.info/problem/fcb049_h9dnbd,,https://vnoi-admin.github.io/statements/FC/FCB049/h9dnbd.pdf,Hash Table,300
Day 13,Exercise,ISTRI,fcb048,https://oj.vnoi.info/problem/fcb048_istri,,https://vnoi-admin.github.io/statements/FC/FCB048/istri.pdf,Geometry,300
Day 13,Exercise,SELFDIV,fcb047,https://oj.vnoi.info/problem/fcb047_selfdiv,,https://vnoi-admin.github.io/statements/FC/FCB047/selfdiv.pdf,Math,300
Day 24,Exercise,BASIC,fcb040,https://oj.vnoi.info/problem/fcb040_basic,,https://vnoi-admin.github.io/statements/FC/FCB040/basic.pdf,Brute Force,300
Day 3,Exercise,MAXMUL,fcb055,https://oj.vnoi.info/problem/fcb055_maxmul,,https://vnoi-admin.github.io/statements/FC/FCB055/maxmul.pdf,Array,350
Day 5,Exercise,COINS,fcb044,https://oj.vnoi.info/problem/fcb044_coins,,https://vnoi-admin.github.io/statements/FC/FCB044/coins.pdf,Math,350
Day 10,Exercise,GOAL,fcb050,https://oj.vnoi.info/problem/fcb050_goal,,https://vnoi-admin.github.io/statements/FC/FCB050/goal.pdf,Simulation,350
Day 12,Exercise,RHOMBUS,fcb048,https://oj.vnoi.info/problem/fcb048_rhombus,,https://vnoi-admin.github.io/statements/FC/FCB048/rhombus.pdf,Math,350
Day 14,Exercise,TRIPLET,fcb046,https://oj.vnoi.info/problem/fcb046_triplet,,https://vnoi-admin.github.io/statements/FC/FCB046/triplet.pdf,Combinatorics,350
Day 22,Exercise,BROKENCLOCK,fcb042,https://oj.vnoi.info/problem/fcb042_brokenclock,,https://vnoi-admin.github.io/statements/FC/FCB042/brokenclock.pdf,Implementation,350
Day 24,Exercise,KMEMORY,fcb040,https://oj.vnoi.info/problem/fcb040_kmemory,,https://vnoi-admin.github.io/statements/FC/FCB040/kmemory.pdf,Array,350
Day 24,Exercise,NEARNUM,fcb039,https://oj.vnoi.info/problem/fcb039_nearnum,,https://vnoi-admin.github.io/statements/FC/FCB039/nearnum.pdf,Math,350
Day 1,Exercise,FIBOXOR,fcb055,https://oj.vnoi.info/problem/fcb055_fiboxor,,https://vnoi-admin.github.io/statements/FC/FCB055/fiboxor.pdf,Math,400
Day 5,Exercise,FINDPER,fcb018,https://oj.vnoi.info/problem/fcb018_findper,,https://vnoi-admin.github.io/statements/FC/FCB018/findper.pdf,Simulation,400
Day 7,Exercise,BWTREE,fcb037,https://oj.vnoi.info/problem/fcb037_bwtree,,https://vnoi-admin.github.io/statements/FC/FCB037/bwtree.pdf,Tree,400
Day 7,Exercise,MAZE,fcb024,https://oj.vnoi.info/problem/fcb024_maze,,https://vnoi-admin.github.io/statements/FC/FCB024/maze.pdf,Simulation,400
Day 9,Exercise,LINEUP,fcb051,https://oj.vnoi.info/problem/fcb051_lineup,,https://vnoi-admin.github.io/statements/FC/FCB051/lineup.pdf,Math,400
Day 12,Exercise,DATE,fcb048,https://oj.vnoi.info/problem/fcb048_date,,https://vnoi-admin.github.io/statements/FC/FCB048/date.pdf,Graph,400
Day 14,Exercise,ODDXOR,fcb046,https://oj.vnoi.info/problem/fcb046_oddxor,,https://vnoi-admin.github.io/statements/FC/FCB046/oddxor.pdf,Bit Manipulation,400
