contest_name,contest_type,level,difficulty,problem_name,problem_type,problem_url,pdf_url,ggdrive_url
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Adherence to the Oath,Other,https://oj.vnoi.info/problem/icpc25_national_a,https://vnoi-admin.github.io/statements/icpc/2025/national/a.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Blowing Balloons,Game Theory,https://oj.vnoi.info/problem/icpc25_national_b,https://vnoi-admin.github.io/statements/icpc/2025/national/b.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Counting Contours,Math/Number Theory,https://oj.vnoi.info/problem/icpc25_national_c,https://vnoi-admin.github.io/statements/icpc/2025/national/c.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Difficulty Distance,Graph/Tree,https://oj.vnoi.info/problem/icpc25_national_d,https://vnoi-admin.github.io/statements/icpc/2025/national/d.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Extended Fermat Theorem,Other,https://oj.vnoi.info/problem/icpc25_national_e,https://vnoi-admin.github.io/statements/icpc/2025/national/e.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Feast of Delicacy,Other,https://oj.vnoi.info/problem/icpc25_national_f,https://vnoi-admin.github.io/statements/icpc/2025/national/f.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Goodifying Strings,String/Text,https://oj.vnoi.info/problem/icpc25_national_g,https://vnoi-admin.github.io/statements/icpc/2025/national/g.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Harmonic Strings,String/Text,https://oj.vnoi.info/problem/icpc25_national_h,https://vnoi-admin.github.io/statements/icpc/2025/national/h.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Impulsive Particle Experiment,Other,https://oj.vnoi.info/problem/icpc25_national_i,https://vnoi-admin.github.io/statements/icpc/2025/national/i.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Jeopardizing Justice,Other,https://oj.vnoi.info/problem/icpc25_national_j,https://vnoi-admin.github.io/statements/icpc/2025/national/j.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Kilo Kilter Kerfuffle,Other,https://oj.vnoi.info/problem/icpc25_national_k,https://vnoi-admin.github.io/statements/icpc/2025/national/k.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 vòng Quốc Gia,ICPC,Quốc gia,Very Hard,Laning Phase,Other,https://oj.vnoi.info/problem/icpc25_national_l,https://vnoi-admin.github.io/statements/icpc/2025/national/l.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 miền Bắc,ICPC,Miền Bắc,Medium,GIFTGIFT,Other,https://oj.vnoi.info/problem/icpc25_mb_a,https://oj.vnoi.info/pdf/3a4e690e-061d-4809-b746-4a0e23a8a8d2.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 miền Bắc,ICPC,Miền Bắc,Medium,MOVIEMOVIE,Other,https://oj.vnoi.info/problem/icpc25_mb_b,https://oj.vnoi.info/pdf/40d87ec3-ebc2-4f5b-b3a8-b28bcda5b9e8.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 miền Bắc,ICPC,Miền Bắc,Medium,EXPERIENCEEXPERIENCE,Other,https://oj.vnoi.info/problem/icpc25_mb_c,https://oj.vnoi.info/pdf/0f00bc28-bb2b-474a-ad1c-9d68dc2e5047.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 miền Bắc,ICPC,Miền Bắc,Medium,STOCKSTOCK,Other,https://oj.vnoi.info/problem/icpc25_mb_d,https://oj.vnoi.info/pdf/7a36a996-ef1b-47bd-9d3a-0bb462649dc5.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 miền Bắc,ICPC,Miền Bắc,Medium,GRAPHGRAPH,Graph/Tree,https://oj.vnoi.info/problem/icpc25_mb_e,https://oj.vnoi.info/pdf/e66550eb-c5c6-4ff2-b1c9-e879160d9f5e.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 miền Bắc,ICPC,Miền Bắc,Medium,GATOGATO,Other,https://oj.vnoi.info/problem/icpc25_mb_f,https://oj.vnoi.info/pdf/41853dd4-4e3a-4d81-98e9-e1d9dcbf429c.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 miền Bắc,ICPC,Miền Bắc,Medium,LINESLINES,Geometry,https://oj.vnoi.info/problem/icpc25_mb_g,https://oj.vnoi.info/pdf/c5e3d970-04cf-4717-91a5-63cbc76e1fdd.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
ICPC 2025 miền Bắc,ICPC,Miền Bắc,Medium,EXPRESSIONSEXPRESSIONS,Other,https://oj.vnoi.info/problem/icpc25_mb_h,https://oj.vnoi.info/pdf/22e5937f-c1fd-4d63-872e-66a55c9b150d.pdf,https://drive.google.com/drive/folders/1v7II21UysbEilhm5NDMcZ8hfnEKnvbeo
